,Unnamed: 0,id,time,rating,comment
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
443,443,EXtAG3Yi3vfRHA0XWyKlyA,2022-12-15,1 star rating,"Been eating here for over 20 years and was friendly with the Owner Mr.Lee and his wife as usually the food is great.Not tonight as he give me rotten smelling chicken in my chicken lo mein to go order. My Wife and I smell the meat and it smells unwashed like from a freshly killed chicken with a livestock odor not pleasant at all and strong. I bring it back and he make another fresh order jut with same meat and it smells bad again. He looks at me like I'm not telling the truth. He even show me the tin of chicken he was taking meat from and I smell it and say this meat is bad. He say how's it supposed to smell and I say it's supposed to have no smell.I bring it home and my wife and I just can't make ourselves eat it so I bring back again. He's not happy and slams ten bucks on counter while he yells ""again!!"" so I take the ten dollars and walk out.what crappy service and what a crazy place willing to serve and sell rotten meat that smells repugnant.I went down the block to famiLi takeout who made me chicken lo mein fresh that DID NOT SMELL FOUL and tasted great.I may never go back to imperial taste 88 as the meat tasted like maybe they had saved it from the 80's!!! Gross!!! I would give zero stars if I could. Don't eat here."
451,451,EXtAG3Yi3vfRHA0XWyKlyA,2022-07-29,1 star rating,"I took my granddaughter to this restaurant for the first time and ordered a lunch special chicken with broccoli with pork fried rice. When the order came out, the lady at the register literally threw my lunch and coke on the counter which I thought was very rude.  I told her that I was staying to eat when I received a dirty look in return.  (possibly because I was black) Although I'm black Korean.  I didn't  want to make a fuss because I was with my 3 years old granddaughter.  After removing a dead fly off the seat, I opened up the lunch and found chicken and broccoli drenched in soy sauce with dried up fried rice.  The food was so salty that we had to throw it out.  It was the worst Chinese food that I ever had."
463,463,jjBcUeE4-Z8VoGFaYkdxvw,2022-07-23,1 star rating,"Bought a buffalo chicken salad and had to pick out a whole bunch of wilted greens while eating. I did show it to the manager, who apologized and offered a new salad. At this point I wasn't hungry. I expected at least a coupon for a future order. I am not complaining if there is one or two wilted leaves but when a large portion of the salad is rotten, it's not acceptable."
